Culture,OCM,Frequency,Proportion_of_Passages
Akan,426,1,0.008064516129032258
Akan,202,1,0.008064516129032258
Akan,683,1,0.008064516129032258
Amhara,192,52,0.29714285714285715
Amhara,776,41,0.2342857142857143
Amhara,755,37,0.21142857142857144
Amhara,756,27,0.15428571428571428
Amhara,759,27,0.15428571428571428
Amhara,278,19,0.10857142857142857
Amhara,789,18,0.10285714285714286
Amhara,793,16,0.09142857142857143
Amhara,757,14,0.08
Amhara,177,11,0.06285714285714286
Amhara,787,10,0.05714285714285714
Amhara,539,9,0.05142857142857143
Amhara,562,9,0.05142857142857143
Amhara,827,8,0.045714285714285714
Amhara,196,6,0.03428571428571429
Amhara,121,6,0.03428571428571429
Amhara,565,6,0.03428571428571429
Amhara,778,6,0.03428571428571429
Amhara,825,6,0.03428571428571429
Amhara,758,5,0.02857142857142857
Amhara,828,5,0.02857142857142857
Amhara,791,5,0.02857142857142857
Amhara,178,4,0.022857142857142857
Amhara,158,3,0.017142857142857144
Amhara,413,3,0.017142857142857144
Amhara,157,3,0.017142857142857144
Amhara,843,3,0.017142857142857144
Amhara,744,3,0.017142857142857144
Amhara,821,3,0.017142857142857144
Amhara,782,3,0.017142857142857144
Amhara,304,2,0.011428571428571429
Amhara,684,2,0.011428571428571429
Amhara,155,2,0.011428571428571429
Amhara,734,2,0.011428571428571429
Amhara,842,2,0.011428571428571429
Amhara,128,2,0.011428571428571429
Amhara,613,2,0.011428571428571429
Amhara,784,2,0.011428571428571429
Amhara,602,2,0.011428571428571429
Amhara,114,2,0.011428571428571429
Amhara,231,2,0.011428571428571429
Amhara,113,2,0.011428571428571429
Amhara,212,2,0.011428571428571429
Amhara,262,2,0.011428571428571429
Amhara,833,2,0.011428571428571429
Amhara,815,2,0.011428571428571429
Amhara,761,1,0.005714285714285714
Amhara,202,1,0.005714285714285714
Amhara,853,1,0.005714285714285714
Amhara,515,1,0.005714285714285714
Amhara,688,1,0.005714285714285714
Amhara,771,1,0.005714285714285714
Amhara,626,1,0.005714285714285714
Amhara,326,1,0.005714285714285714
Amhara,484,1,0.005714285714285714
Amhara,576,1,0.005714285714285714
Amhara,531,1,0.005714285714285714
Amhara,795,1,0.005714285714285714
Amhara,164,1,0.005714285714285714
Amhara,845,1,0.005714285714285714
Amhara,291,1,0.005714285714285714
Amhara,609,1,0.005714285714285714
Amhara,233,1,0.005714285714285714
Amhara,554,1,0.005714285714285714
Amhara,856,1,0.005714285714285714
Amhara,197,1,0.005714285714285714
Amhara,869,1,0.005714285714285714
Amhara,0,1,0.005714285714285714
Amhara,264,1,0.005714285714285714
Amhara,826,1,0.005714285714285714
Amhara,261,1,0.005714285714285714
Amhara,820,1,0.005714285714285714
Amhara,855,1,0.005714285714285714
Amhara,846,1,0.005714285714285714
Amhara,834,1,0.005714285714285714
Amhara,302,1,0.005714285714285714
Amhara,131,1,0.005714285714285714
Amhara,564,1,0.005714285714285714
Amhara,133,1,0.005714285714285714
Amhara,127,1,0.005714285714285714
Amhara,243,1,0.005714285714285714
Amhara,369,1,0.005714285714285714
Amhara,173,1,0.005714285714285714
Amhara,764,1,0.005714285714285714
Amhara,434,1,0.005714285714285714
Amhara,166,1,0.005714285714285714
Amhara,582,1,0.005714285714285714
Amhara,292,1,0.005714285714285714
Amhara,435,1,0.005714285714285714
Amhara,854,1,0.005714285714285714
Andamans,182,38,0.4222222222222222
Andamans,302,18,0.2
Andamans,824,12,0.13333333333333333
Andamans,761,8,0.08888888888888889
Andamans,264,8,0.08888888888888889
Andamans,301,7,0.07777777777777778
Andamans,262,6,0.06666666666666667
Andamans,164,5,0.05555555555555555
Andamans,755,5,0.05555555555555555
Andamans,775,5,0.05555555555555555
Andamans,757,5,0.05555555555555555
Andamans,123,5,0.05555555555555555
Andamans,171,4,0.044444444444444446
Andamans,776,4,0.044444444444444446
Andamans,825,3,0.03333333333333333
Andamans,854,3,0.03333333333333333
Andamans,114,3,0.03333333333333333
Andamans,844,3,0.03333333333333333
Andamans,515,3,0.03333333333333333
Andamans,372,3,0.03333333333333333
Andamans,177,2,0.022222222222222223
Andamans,411,2,0.022222222222222223
Andamans,784,2,0.022222222222222223
Andamans,291,2,0.022222222222222223
Andamans,517,2,0.022222222222222223
Andamans,386,2,0.022222222222222223
Andamans,142,2,0.022222222222222223
Andamans,482,2,0.022222222222222223
Andamans,136,2,0.022222222222222223
Andamans,342,2,0.022222222222222223
Andamans,756,2,0.022222222222222223
Andamans,734,1,0.011111111111111112
Andamans,462,1,0.011111111111111112
Andamans,151,1,0.011111111111111112
Andamans,137,1,0.011111111111111112
Andamans,304,1,0.011111111111111112
Andamans,765,1,0.011111111111111112
Andamans,777,1,0.011111111111111112
Andamans,727,1,0.011111111111111112
Andamans,196,1,0.011111111111111112
Andamans,252,1,0.011111111111111112
Andamans,593,1,0.011111111111111112
Andamans,657,1,0.011111111111111112
Andamans,758,1,0.011111111111111112
Andamans,278,1,0.011111111111111112
Andamans,0,1,0.011111111111111112
Andamans,251,1,0.011111111111111112
Andamans,157,1,0.011111111111111112
Andamans,597,1,0.011111111111111112
Andamans,273,1,0.011111111111111112
Andamans,516,1,0.011111111111111112
Andamans,832,1,0.011111111111111112
Andamans,834,1,0.011111111111111112
Andamans,841,1,0.011111111111111112
Andamans,415,1,0.011111111111111112
Andamans,162,1,0.011111111111111112
Andamans,312,1,0.011111111111111112
Andamans,317,1,0.011111111111111112
Andamans,271,1,0.011111111111111112
Andamans,823,1,0.011111111111111112
Andamans,231,1,0.011111111111111112
Andamans,476,1,0.011111111111111112
Andamans,461,1,0.011111111111111112
Andamans,178,1,0.011111111111111112
Andamans,356,1,0.011111111111111112
Andamans,412,1,0.011111111111111112
Andamans,222,1,0.011111111111111112
Aranda,262,18,0.2857142857142857
Aranda,755,13,0.20634920634920634
Aranda,825,13,0.20634920634920634
Aranda,853,12,0.19047619047619047
Aranda,778,12,0.19047619047619047
Aranda,789,12,0.19047619047619047
Aranda,882,11,0.1746031746031746
Aranda,776,11,0.1746031746031746
Aranda,154,8,0.12698412698412698
Aranda,881,7,0.1111111111111111
Aranda,533,6,0.09523809523809523
Aranda,832,6,0.09523809523809523
Aranda,888,5,0.07936507936507936
Aranda,761,4,0.06349206349206349
Aranda,826,3,0.047619047619047616
Aranda,756,3,0.047619047619047616
Aranda,823,3,0.047619047619047616
Aranda,841,3,0.047619047619047616
Aranda,775,3,0.047619047619047616
Aranda,784,2,0.031746031746031744
Aranda,602,2,0.031746031746031744
Aranda,827,2,0.031746031746031744
Aranda,796,2,0.031746031746031744
Aranda,627,2,0.031746031746031744
Aranda,773,2,0.031746031746031744
Aranda,769,2,0.031746031746031744
Aranda,171,2,0.031746031746031744
Aranda,302,2,0.031746031746031744
